market,period,txn,price,wp_page,printed_period_avg,recon_period_avg,period_validated
1,1,1,275,81,239,239.412,yes
1,1,2,285,81,239,239.412,yes
1,1,3,250,81,239,239.412,yes
1,1,4,225,81,239,239.412,yes
1,1,5,200,81,239,239.412,yes
1,1,6,210,81,239,239.412,yes
1,1,7,250,81,239,239.412,yes
1,1,8,200,81,239,239.412,yes
1,1,9,200,81,239,239.412,yes
1,1,10,250,81,239,239.412,yes
1,1,11,250,81,239,239.412,yes
1,1,12,240,81,239,239.412,yes
1,1,13,250,81,239,239.412,yes
1,1,14,260,81,239,239.412,yes
1,1,15,250,81,239,239.412,yes
1,1,16,250,81,239,239.412,yes
1,1,17,225,81,239,239.412,yes
1,2,1,250,81,269,263.929,NO
1,2,2,255,81,269,263.929,NO
1,2,3,265,81,269,263.929,NO
1,2,4,260,81,269,263.929,NO
1,2,5,255,81,269,263.929,NO
1,2,6,260,81,269,263.929,NO
1,2,7,260,81,269,263.929,NO
1,2,8,275,81,269,263.929,NO
1,2,9,275,81,269,263.929,NO
1,2,10,275,81,269,263.929,NO
1,2,11,260,81,269,263.929,NO
1,2,12,275,81,269,263.929,NO
1,2,13,270,81,269,263.929,NO
1,2,14,260,81,269,263.929,NO
1,3,1,260,81,272,271.786,yes
1,3,2,260,81,272,271.786,yes
1,3,3,250,81,272,271.786,yes
1,3,4,260,81,272,271.786,yes
1,3,5,265,81,272,271.786,yes
1,3,6,270,81,272,271.786,yes
1,3,7,275,81,272,271.786,yes
1,3,8,280,81,272,271.786,yes
1,3,9,280,81,272,271.786,yes
1,3,10,280,81,272,271.786,yes
1,3,11,280,81,272,271.786,yes
1,3,12,280,81,272,271.786,yes
1,3,13,285,81,272,271.786,yes
1,3,14,280,81,272,271.786,yes
1,4,1,275,81,280,279.5,yes
1,4,2,275,81,280,279.5,yes
1,4,3,280,81,280,279.5,yes
1,4,4,280,81,280,279.5,yes
1,4,5,280,81,280,279.5,yes
1,4,6,280,81,280,279.5,yes
1,4,7,280,81,280,279.5,yes
1,4,8,285,81,280,279.5,yes
1,4,9,280,81,280,279.5,yes
1,4,10,280,81,280,279.5,yes
1,5,1,285,82,289,289.412,yes
1,5,2,290,82,289,289.412,yes
1,5,3,290,82,289,289.412,yes
1,5,4,285,82,289,289.412,yes
1,5,5,280,82,289,289.412,yes
1,5,6,285,82,289,289.412,yes
1,5,7,290,82,289,289.412,yes
1,5,8,290,82,289,289.412,yes
