group,run_id,session,market,seed,period,state,info,side,discovery,n_trades,true_state_belief,price_basis_share,E_pct,TE_pct,insider_profit,uninformed_profit,insider_advantage_pct
control,m7_ctrl_42,0,A,42,1,X,none,,,19,0.5893055555555555,0.4857142857142857,98.5576923076923,64.84375,,,
control,m7_ctrl_42,0,A,42,2,X,none,,,18,0.5741111111111111,0.6388888888888888,98.33333333333333,59.375,,,
control,m7_ctrl_42,0,A,42,3,X,none,,,26,0.6208333333333332,0.7714285714285715,98.23717948717949,57.03125,,,
control,m7_ctrl_42,0,A,42,4,X,none,,,28,0.6702222222222223,0.75,97.40384615384616,36.71875,,,
control,m7_ctrl_42,0,A,42,5,Y,insider,seller,0.695,23,0.6266666666666666,0.7777777777777778,86.71875,20.3125,517.1666666666666,37.833333333333336,1366.9603524229074
control,m7_ctrl_42,0,A,42,6,X,insider,buyer,0.104,17,0.7347222222222222,0.9444444444444444,92.93981481481481,23.75,804.6666666666666,533.6666666666666,150.78076202373515
control,m7_ctrl_42,0,A,42,7,Y,insider,seller,0.013,19,0.36627777777777776,0.7777777777777778,77.08333333333333,-37.5,517.5,-24.166666666666668,-2141.3793103448274
control,m7_ctrl_42,0,A,42,8,X,insider,buyer,0.212,20,0.7227777777777777,0.7777777777777778,94.21296296296296,37.5,777.6666666666666,579.0,134.31203223949336
control,m7_ctrl_42,0,A,42,9,Y,insider,seller,0.238,10,0.49600000000000005,0.7222222222222222,85.41666666666667,12.5,382.8333333333333,163.83333333333334,233.6724313326551
control,m7_ctrl_42,0,A,42,10,Y,insider,,,0,0.6555555555555556,0.4444444444444444,83.33333333333333,0.0,266.6666666666667,266.6666666666667,100.0
control,m7_ctrl_42,0,A,42,11,X,insider,buyer,0.368,22,0.7694444444444444,0.8888888888888888,96.18055555555556,58.75,795.0,590.0,134.74576271186442
control,m7_ctrl_42,0,A,42,12,X,insider,buyer,0.74,25,0.7216666666666667,0.8888888888888888,99.65277777777777,96.25,763.5,671.5,113.7006701414743
control,m7_ctrl_42,0,A,42,13,X,insider,buyer,0.679,24,0.7083333333333334,0.8333333333333334,95.94907407407408,56.25,750.0,631.6666666666666,118.7335092348285
control,m7_ctrl_42,0,A,42,14,X,none,,,21,0.6055277777777778,0.4722222222222222,99.00641025641026,75.78125,,,
control,m7_ctrl_43,0,A,43,1,Y,none,,,6,0.4143055555555556,0.3888888888888889,95.7051282051282,-4.6875,,,
control,m7_ctrl_43,0,A,43,2,X,none,,,18,0.6166555555555555,0.5277777777777778,99.2948717948718,82.8125,,,
control,m7_ctrl_43,0,A,43,3,X,none,,,24,0.6295,0.6666666666666666,95.1923076923077,-17.1875,,,
control,m7_ctrl_43,0,A,43,4,Y,none,,,29,0.2667777777777778,0.9166666666666666,94.07051282051282,-44.53125,,,
control,m7_ctrl_43,0,A,43,5,X,insider,buyer,0.148,18,0.6372222222222221,0.5882352941176471,94.9074074074074,45.0,828.1666666666666,538.5,153.79139585267717
