sequence,seed,rounds,side,periods,D_first,D_mean,D_last,trades
prior redraw,20250757,3,buyer,3,-0.2828282828282828,-0.08600000000000001,0.22626262626262625,58
prior redraw,20250757,4,buyer,3,-0.06060606060606061,0.03366666666666667,0.24242424242424243,64
prior redraw,20250757,5,buyer,3,-0.050505050505050504,0.17833333333333334,0.30303030303030304,77
prior redraw,20250757,6,buyer,3,-0.06060606060606061,0.17,0.402020202020202,65
prior redraw,20250757,3,seller,6,1.4285714285714286,1.4631666666666667,1.1523809523809525,142
prior redraw,20250757,4,seller,6,-0.038095238095238126,-0.37200000000000005,-0.03333333333333336,102
prior redraw,20250757,5,seller,6,0.9285714285714285,0.9405000000000001,1.0047619047619047,151
prior redraw,20250757,6,seller,6,1.2428571428571429,1.1466666666666667,1.2047619047619047,162
published,20250755,3,buyer,4,0.045454545454545456,0.22899999999999998,0.44696969696969696,74
published,20250755,4,buyer,4,-0.3015151515151515,-0.1545,-0.13333333333333333,88
published,20250755,5,buyer,4,-0.06060606060606061,0.126,0.17575757575757578,92
published,20250755,6,buyer,4,0.015151515151515152,0.11674999999999999,0.2,92
published,20250755,3,seller,5,1.1142857142857143,1.1694,1.502857142857143,100
published,20250755,4,seller,5,1.4342857142857144,1.3923999999999999,1.4914285714285715,131
published,20250755,5,seller,5,1.3714285714285714,1.5198,1.7942857142857143,157
published,20250755,6,seller,5,0.9142857142857143,1.1204,1.1542857142857141,138
