rung,side,periods,price_periods,discovery,true_state_belief,price_basis_share,trades,TE_pct,insider_advantage_pct
0,buyer,11,11,0.4777272727272728,0.7431717171717171,0.8131313131313131,20.636363636363637,55.94155844155844,123.87991186191701
0,seller,6,6,0.25299999999999995,0.44871944444444445,0.6726579520697168,19.833333333333332,20.746527777777775,555.8002936857562
1,buyer,11,11,0.5128181818181818,0.7687489898989899,0.8933452168746286,21.454545454545453,63.49025974025974,121.5464616775944
1,seller,7,7,0.29471428571428565,0.46878174603174605,0.8015873015873016,17.0,-1.3392857142857155,490.93101784852877
1b,buyer,11,11,0.5878181818181818,0.8056818181818183,0.7694592988710636,16.09090909090909,64.8538961038961,112.75580992022199
1b,seller,7,7,0.49328571428571427,0.584126984126984,0.7301587301587301,17.857142857142858,25.0,247.00065919578114
2,buyer,11,11,0.6659999999999999,0.8603434343434343,0.9146730462519936,18.545454545454547,76.0064935064935,107.41996943240584
2,seller,6,6,0.9863333333333332,0.8168518518518519,0.8681917211328974,18.0,79.86111111111111,110.8060230292294
3,buyer,11,11,0.9417272727272727,0.9085641414141413,0.9343434343434344,18.363636363636363,97.07792207792208,101.40112089671739
3,seller,7,7,0.8631428571428571,0.8335714285714284,0.865079365079365,16.0,76.19047619047618,118.82517265461316
