step,side,sessions,periods,before_mean,after_mean,mean_change,improved_sessions,p_session_sign_flip
Structure: 0 to 1,buyer,2,11,0.47296666666666665,0.49926666666666664,0.02630000000000001,1,1.0
Structure: 0 to 1,seller,2,6,0.253,0.26,0.0069999999999999785,1,1.0
Implementation: 1 to 1b,buyer,2,11,0.49926666666666664,0.5796166666666667,0.08034999999999999,2,0.5
Implementation: 1 to 1b,seller,2,7,0.32225000000000004,0.5545416666666667,0.23229166666666673,1,1.0
Info status: 1b to 2,buyer,2,11,0.5796166666666667,0.6593,0.07968333333333333,2,0.5
Info status: 1b to 2,seller,2,6,0.5726249999999999,0.976,0.40337499999999993,1,1.0
Fixed identities: 2 to 3,buyer,4,18,0.7047958333333333,0.8233083333333333,0.1185125,3,0.375
Fixed identities: 2 to 3,seller,4,16,0.9970833333333333,0.7384166666666667,-0.2586666666666666,1,0.25
Baseline to rung 3: 0 to 3,buyer,4,18,0.30906666666666666,0.8233083333333333,0.5142416666666666,4,0.125
Baseline to rung 3: 0 to 3,seller,4,16,0.46952083333333333,0.7301249999999999,0.26060416666666664,3,0.625
