group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery,rung
control,m7_ctrl_42,0,A,42,5,Y,seller,260.0,160,190.5,0.695,23,260,124,-0.0,1.36,1.36,0
control,m7_ctrl_42,0,A,42,6,X,buyer,260.0,360,270.4,0.104,17,261,292,0.01,0.32,0.31,0
control,m7_ctrl_42,0,A,42,7,Y,seller,260.0,160,258.7,0.013,19,259,259,0.01,0.01,-0.0,0
control,m7_ctrl_42,0,A,42,8,X,buyer,260.0,360,281.2,0.212,20,270,295,0.1,0.35,0.25,0
control,m7_ctrl_42,0,A,42,9,Y,seller,260.0,160,236.2,0.238,10,239,235,0.21,0.25,0.04,0
control,m7_ctrl_42,0,A,42,11,X,buyer,260.0,360,296.8,0.368,22,250,314,-0.1,0.54,0.64,0
control,m7_ctrl_42,0,A,42,12,X,buyer,260.0,360,334.0,0.74,25,330,350,0.7,0.9,0.2,0
control,m7_ctrl_42,0,A,42,13,X,buyer,260.0,360,327.9,0.679,24,300,300,0.4,0.4,0.0,0
control,m7_ctrl_45,0,A,45,5,X,buyer,260.0,360,286.6,0.266,25,250,340,-0.1,0.8,0.9,0
control,m7_ctrl_45,0,A,45,6,X,buyer,260.0,360,260.3,0.003,13,250,280,-0.1,0.2,0.3,0
control,m7_ctrl_45,0,A,45,7,Y,seller,260.0,160,167.5,0.925,25,250,111,0.1,1.49,1.39,0
control,m7_ctrl_45,0,A,45,8,X,buyer,260.0,360,299.5,0.395,19,300,290,0.4,0.3,-0.1,0
control,m7_ctrl_45,0,A,45,9,Y,seller,260.0,160,158.8,1.012,21,200,110,0.6,1.5,0.9,0
control,m7_ctrl_45,0,A,45,10,Y,seller,260.0,160,139.0,1.21,26,165,113,0.95,1.47,0.52,0
control,m7_ctrl_45,0,A,45,11,Y,seller,260.0,160,164.8,0.952,29,200,110,0.6,1.5,0.9,0
control,m7_ctrl_45,0,A,45,12,Y,seller,260.0,160,173.6,0.864,18,200,164,0.6,0.96,0.36,0
control,m7_ctrl_45,0,A,45,13,X,buyer,260.0,360,208.8,-0.512,15,200,228,-0.6,-0.32,0.28,0
control,m8_ctrl_42,0,B,42,5,Y,seller,300.0,200,299.1,0.009,22,300,299,-0.0,0.01,0.01,0
