step,side,before_rung,after_rung,market,seed,paired_periods,before_mean,after_mean,mean_change
Structure: 0 to 1,buyer,0,1,A,42,5,0.4206,0.35019999999999996,-0.07039999999999999
Structure: 0 to 1,buyer,0,1,B,42,6,0.5253333333333333,0.6483333333333333,0.12300000000000001
Structure: 0 to 1,seller,0,1,A,42,3,0.3153333333333333,0.0049999999999999906,-0.31033333333333335
Structure: 0 to 1,seller,0,1,B,42,3,0.19066666666666668,0.515,0.3243333333333333
Implementation: 1 to 1b,buyer,1,1b,A,42,5,0.35019999999999996,0.4894,0.1392
Implementation: 1 to 1b,buyer,1,1b,B,42,6,0.6483333333333333,0.6698333333333334,0.02149999999999998
Implementation: 1 to 1b,seller,1,1b,A,42,4,0.1295,0.12575,-0.0037500000000000033
Implementation: 1 to 1b,seller,1,1b,B,42,3,0.515,0.9833333333333334,0.46833333333333343
Info status: 1b to 2,buyer,1b,2,A,42,5,0.4894,0.5856,0.09620000000000001
Info status: 1b to 2,buyer,1b,2,B,42,6,0.6698333333333334,0.733,0.06316666666666666
Info status: 1b to 2,seller,1b,2,A,42,4,0.12575,1.007,0.8812499999999999
Info status: 1b to 2,seller,1b,2,B,42,2,1.0194999999999999,0.945,-0.07450000000000001
Fixed identities: 2 to 3,buyer,2,3,A,42,5,0.5856,0.9673999999999999,0.38180000000000003
Fixed identities: 2 to 3,buyer,2,3,A,45,4,0.78225,0.6805,-0.10175000000000002
Fixed identities: 2 to 3,buyer,2,3,B,42,6,0.733,0.9203333333333333,0.18733333333333332
Fixed identities: 2 to 3,buyer,2,3,B,44,3,0.7183333333333334,0.725,0.006666666666666636
Fixed identities: 2 to 3,seller,2,3,A,42,4,1.007,1.0095,0.0025000000000000577
Fixed identities: 2 to 3,seller,2,3,A,45,4,1.0185,0.24349999999999994,-0.7749999999999999
Fixed identities: 2 to 3,seller,2,3,B,42,2,0.945,0.701,-0.244
Fixed identities: 2 to 3,seller,2,3,B,44,6,1.0178333333333334,0.9996666666666667,-0.018166666666666664
Baseline to rung 3: 0 to 3,buyer,0,3,A,42,5,0.4206,0.9673999999999999,0.5468
Baseline to rung 3: 0 to 3,buyer,0,3,A,45,4,0.038000000000000006,0.6805,0.6425
Baseline to rung 3: 0 to 3,buyer,0,3,B,42,6,0.5253333333333333,0.9203333333333333,0.395
Baseline to rung 3: 0 to 3,buyer,0,3,B,44,3,0.25233333333333335,0.725,0.4726666666666666
Baseline to rung 3: 0 to 3,seller,0,3,A,42,3,0.3153333333333333,1.0093333333333334,0.694
Baseline to rung 3: 0 to 3,seller,0,3,A,45,4,0.93825,0.24349999999999994,-0.69475
Baseline to rung 3: 0 to 3,seller,0,3,B,42,3,0.19066666666666668,0.6679999999999998,0.47733333333333333
Baseline to rung 3: 0 to 3,seller,0,3,B,44,6,0.43383333333333335,0.9996666666666667,0.5658333333333333
