group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery,sample
m4,m4_paper_0,0,4,20250755,5,Y,seller,210.0,175,161.2,1.393,20,170,150,1.1428571428571428,1.7142857142857142,0.5714285714285714,Original market 4
m4,m4_paper_0,0,4,20250755,6,X,buyer,210.0,375,216.8,0.041,17,200,255,-0.06060606060606061,0.2727272727272727,0.3333333333333333,Original market 4
m4,m4_paper_0,0,4,20250755,7,Y,seller,210.0,175,150.8,1.692,22,145,149,1.8571428571428572,1.7428571428571429,-0.11428571428571428,Original market 4
m4,m4_paper_0,0,4,20250755,8,Y,seller,210.0,175,178.1,0.911,25,190,140,0.5714285714285714,2.0,1.4285714285714286,Original market 4
m4,m4_paper_0,0,4,20250755,9,X,buyer,210.0,375,271.6,0.374,19,250,300,0.24242424242424243,0.5454545454545454,0.30303030303030304,Original market 4
m4,m4_paper_0,0,4,20250755,10,Y,seller,210.0,175,161.2,1.394,18,150,174,1.7142857142857142,1.0285714285714285,-0.6857142857142857,Original market 4
m4,m4_paper_0,0,4,20250755,11,X,buyer,210.0,375,251.1,0.249,19,200,280,-0.06060606060606061,0.42424242424242425,0.48484848484848486,Original market 4
m4,m4_paper_0,0,4,20250755,12,Y,seller,210.0,175,194.0,0.457,15,200,174,0.2857142857142857,1.0285714285714285,0.7428571428571429,Original market 4
m4,m4_paper_0,0,4,20250755,13,X,buyer,210.0,375,251.6,0.252,19,220,300,0.06060606060606061,0.5454545454545454,0.48484848484848486,Original market 4
m4,m4_paper_1,0,4,20250756,5,Y,seller,210.0,175,149.8,1.721,17,149,151,1.7428571428571429,1.6857142857142857,-0.05714285714285714,Original market 4
m4,m4_paper_1,0,4,20250756,6,X,buyer,210.0,375,145.3,-0.392,15,149,101,-0.3696969696969697,-0.6606060606060606,-0.2909090909090909,Original market 4
m4,m4_paper_1,0,4,20250756,7,Y,seller,210.0,175,150.1,1.712,13,149,151,1.7428571428571429,1.6857142857142857,-0.05714285714285714,Original market 4
m4,m4_paper_1,0,4,20250756,8,Y,seller,210.0,175,151.6,1.668,19,151,152,1.6857142857142857,1.6571428571428573,-0.02857142857142857,Original market 4
m4,m4_paper_1,0,4,20250756,9,X,buyer,210.0,375,240.2,0.183,18,149,270,-0.3696969696969697,0.36363636363636365,0.7333333333333333,Original market 4
m4,m4_paper_1,0,4,20250756,10,Y,seller,210.0,175,150.6,1.697,22,149,151,1.7428571428571429,1.6857142857142857,-0.05714285714285714,Original market 4
m4,m4_paper_1,0,4,20250756,11,X,buyer,210.0,375,228.2,0.11,25,160,141,-0.30303030303030304,-0.41818181818181815,-0.11515151515151516,Original market 4
m4,m4_paper_1,0,4,20250756,12,Y,seller,210.0,175,149.7,1.723,20,150,150,1.7142857142857142,1.7142857142857142,-0.0,Original market 4
m4,m4_paper_1,0,4,20250756,13,X,buyer,210.0,375,260.1,0.304,23,170,300,-0.24242424242424243,0.5454545454545454,0.7878787878787878,Original market 4
m4,m4_random_0,0,4,20250757,5,X,buyer,210.0,375,166.1,-0.266,20,140,300,-0.42424242424242425,0.5454545454545454,0.9696969696969697,Original market 4
m4,m4_random_0,0,4,20250757,6,X,buyer,210.0,375,215.9,0.036,14,150,242,-0.36363636363636365,0.19393939393939394,0.5575757575757576,Original market 4
m4,m4_random_0,0,4,20250757,7,Y,seller,210.0,175,153.9,1.604,24,150,250,1.7142857142857142,-1.1428571428571428,-2.857142857142857,Original market 4
m4,m4_random_0,0,4,20250757,8,Y,seller,210.0,175,156.7,1.522,25,155,160,1.5714285714285714,1.4285714285714286,-0.14285714285714285,Original market 4
m4,m4_random_0,0,4,20250757,9,Y,seller,210.0,175,163.1,1.339,24,155,165,1.5714285714285714,1.2857142857142858,-0.2857142857142857,Original market 4
m4,m4_random_0,0,4,20250757,10,X,buyer,210.0,375,205.4,-0.028,24,200,200,-0.06060606060606061,-0.06060606060606061,0.0,Original market 4
m4,m4_random_0,0,4,20250757,11,Y,seller,210.0,175,161.3,1.393,23,160,166,1.4285714285714286,1.2571428571428571,-0.17142857142857143,Original market 4
m4,m4_random_0,0,4,20250757,12,Y,seller,210.0,175,146.7,1.809,22,170,103,1.1428571428571428,3.057142857142857,1.9142857142857144,Original market 4
m4,m4_random_0,0,4,20250757,13,Y,seller,210.0,175,171.1,1.112,24,170,174,1.1428571428571428,1.0285714285714285,-0.11428571428571428,Original market 4
m4,m4_random_1,0,4,20250758,5,X,buyer,210.0,375,229.4,0.117,16,220,230,0.06060606060606061,0.12121212121212122,0.06060606060606061,Original market 4
m4,m4_random_1,0,4,20250758,6,X,buyer,210.0,375,215.1,0.031,17,200,245,-0.06060606060606061,0.21212121212121213,0.2727272727272727,Original market 4
m4,m4_random_1,0,4,20250758,7,Y,seller,210.0,175,193.7,0.467,23,200,180,0.2857142857142857,0.8571428571428571,0.5714285714285714,Original market 4
m4,m4_random_1,0,4,20250758,8,Y,seller,210.0,175,194.5,0.443,8,200,181,0.2857142857142857,0.8285714285714286,0.5428571428571428,Original market 4
m4,m4_random_1,0,4,20250758,9,Y,seller,210.0,175,166.9,1.233,21,160,174,1.4285714285714286,1.0285714285714285,-0.4,Original market 4
m4,m4_random_1,0,4,20250758,10,Y,seller,210.0,175,174.0,1.029,20,174,174,1.0285714285714285,1.0285714285714285,-0.0,Original market 4
m4,m4_random_1,0,4,20250758,11,Y,seller,210.0,175,144.8,1.862,19,140,146,2.0,1.8285714285714285,-0.17142857142857143,Original market 4
m4,m4_random_1,0,4,20250758,12,X,buyer,210.0,375,247.2,0.226,20,200,300,-0.06060606060606061,0.5454545454545454,0.6060606060606061,Original market 4
m4,m4_random_1,0,4,20250758,13,Y,seller,210.0,175,172.3,1.077,25,150,150,1.7142857142857142,1.7142857142857142,-0.0,Original market 4
m4,m4_random_2,0,4,20250759,5,X,buyer,210.0,375,221.7,0.071,23,220,230,0.06060606060606061,0.12121212121212122,0.06060606060606061,Original market 4
m4,m4_random_2,0,4,20250759,6,Y,seller,210.0,175,132.8,2.206,14,140,146,2.0,1.8285714285714285,-0.17142857142857143,Original market 4
m4,m4_random_2,0,4,20250759,7,Y,seller,210.0,175,149.8,1.719,28,140,150,2.0,1.7142857142857142,-0.2857142857142857,Original market 4
m4,m4_random_2,0,4,20250759,8,X,buyer,210.0,375,150.3,-0.362,20,140,160,-0.42424242424242425,-0.30303030303030304,0.12121212121212122,Original market 4
m4,m4_random_2,0,4,20250759,9,X,buyer,210.0,375,214.5,0.027,19,140,330,-0.42424242424242425,0.7272727272727273,1.1515151515151516,Original market 4
m4,m4_random_2,0,4,20250759,10,Y,seller,210.0,175,202.7,0.208,25,200,140,0.2857142857142857,2.0,1.7142857142857142,Original market 4
m4,m4_random_2,0,4,20250759,11,X,buyer,210.0,375,309.5,0.603,19,350,240,0.8484848484848485,0.18181818181818182,-0.6666666666666666,Original market 4
m4,m4_random_2,0,4,20250759,12,X,buyer,210.0,375,301.1,0.552,18,300,260,0.5454545454545454,0.30303030303030304,-0.24242424242424243,Original market 4
m4,m4_random_2,0,4,20250759,13,Y,seller,210.0,175,207.2,0.079,17,200,206,0.2857142857142857,0.11428571428571428,-0.17142857142857143,Original market 4
control,m7_ctrl_42,0,A,42,5,Y,seller,260.0,160,190.5,0.695,23,260,124,-0.0,1.36,1.36,Symmetric markets A and B
control,m7_ctrl_42,0,A,42,6,X,buyer,260.0,360,270.4,0.104,17,261,292,0.01,0.32,0.31,Symmetric markets A and B
