group,run_id,session,market,treatment,seed,model,rounds,preset,state_sequence,insider_periods,valid_periods,no_trade_periods,status
control,m7_ctrl_42,0,A,0 / symmetric,42,deepseek-v4-flash,3,random_prior_m7,XXXXYXYXYYXXXX,9,8,10,done
control,m7_ctrl_43,0,A,0 / symmetric,43,deepseek-v4-flash,3,random_prior_m7,YXXYXXXXXYYXYY,9,9,--,done
control,m7_ctrl_44,0,A,0 / symmetric,44,deepseek-v4-flash,3,random_prior_m7,XYXYXXXXXXYXYX,9,9,--,done
control,m7_ctrl_45,0,A,0,45,deepseek-v4-flash,3,random_prior_m7,XYYXXXYXYYYYXY,9,9,--,done
control,m8_ctrl_42,0,B,0 / symmetric,42,deepseek-v4-flash,3,random_prior_m8,XXXXYYXXXXXXYY,9,9,--,done
control,m8_ctrl_43,0,B,0 / symmetric,43,deepseek-v4-flash,3,random_prior_m8,XXXXYYXXXXXXYX,9,9,--,done
control,m8_ctrl_44,0,B,0 / symmetric,44,deepseek-v4-flash,3,random_prior_m8,XYYXXYYYXYXYYX,9,9,--,done
disclosed,m7_disc_42,0,A,1,42,deepseek-v4-flash,3,random_prior_m7,XXXXYXYXYYXXXX,9,9,--,done
disclosed,m8_disc_42,0,B,1,42,deepseek-v4-flash,3,random_prior_m8,XXXXYYXXXXXXYY,9,9,--,done
ladder1b,m7_lad1b_42,0,A,1b,42,deepseek-v4-flash,3,random_prior_m7,XXXXYXYXYYXXXX,9,9,--,done
ladder1b,m8_lad1b_42,0,B,1b,42,deepseek-v4-flash,3,random_prior_m8,XXXXYYXXXXXXYY,9,9,--,done
ladder2,m7_lad2_42,0,A,2,42,deepseek-v4-flash,3,random_prior_m7,XXXXYXYXYYXXXX,9,9,--,done
ladder2,m7_lad2_45,0,A,2,45,deepseek-v4-flash,3,random_prior_m7,XYYXXXYXYYYYXY,9,9,--,done
ladder2,m8_lad2_42,0,B,2,42,deepseek-v4-flash,3,random_prior_m8,XXXXYYXXXXXXYY,9,8,5,done
ladder2,m8_lad2_44,0,B,2,44,deepseek-v4-flash,3,random_prior_m8,XYYXXYYYXYXYYX,9,9,--,done
ladder3,m7_lad3_42,0,A,3,42,deepseek-v4-flash,3,random_prior_m7,XXXXYXYXYYXXXX,9,9,--,done
ladder3,m7_lad3_45,0,A,3,45,deepseek-v4-flash,3,random_prior_m7,XYYXXXYXYYYYXY,9,8,10,done
