sample,run_id,buyer,seller,sell_minus_buy
Original market 4,m4_paper_0,0.22899999999999998,1.1694,0.9404
Original market 4,m4_paper_1,0.05124999999999999,1.7042000000000002,1.6529500000000001
Original market 4,m4_random_0,-0.08600000000000001,1.4631666666666667,1.5491666666666668
Original market 4,m4_random_1,0.12466666666666666,1.0185000000000002,0.8938333333333335
Original market 4,m4_random_2,0.1782,1.053,0.8747999999999999
Original markets 1-5 (background),m1_paper_0,0.038500000000000006,0.1225,0.08399999999999999
Original markets 1-5 (background),m1_paper_1,0.219,1.528,1.309
Original markets 1-5 (background),m1_random_0,-0.868,0.805,1.673
Original markets 1-5 (background),m1_random_1,0.178,0.744,0.5660000000000001
Original markets 1-5 (background),m1_random_2,-1.665,0.638,2.303
Original markets 1-5 (background),m2_paper_0,0.51,0.14150000000000007,-0.36849999999999994
Original markets 1-5 (background),m2_paper_1,-0.242,2.872,3.114
Original markets 1-5 (background),m2_random_0,0.09225,-0.233,-0.32525000000000004
Original markets 1-5 (background),m2_random_1,0.7050000000000001,-0.936,-1.641
Original markets 1-5 (background),m2_random_2,0.09066666666666667,2.1094999999999997,2.0188333333333333
Original markets 1-5 (background),m3_gem_paper,0.14233333333333334,1.1286,0.9862666666666667
Original markets 1-5 (background),m3_paper_0,0.18333333333333335,1.3084,1.1250666666666667
Original markets 1-5 (background),m3_paper_1,0.021333333333333333,0.8943999999999999,0.8730666666666665
Original markets 1-5 (background),m3_random_0,0.1505,0.90275,0.7522500000000001
Original markets 1-5 (background),m3_random_1,-0.051500000000000004,0.5567500000000001,0.6082500000000001
Original markets 1-5 (background),m3_random_2,-0.269,1.3184285714285713,1.5874285714285712
Original markets 1-5 (background),m4_paper_0,0.22899999999999998,1.1694,0.9404
Original markets 1-5 (background),m4_paper_1,0.05124999999999999,1.7042000000000002,1.6529500000000001
Original markets 1-5 (background),m4_random_0,-0.08600000000000001,1.4631666666666667,1.5491666666666668
Original markets 1-5 (background),m4_random_1,0.12466666666666666,1.0185000000000002,0.8938333333333335
Original markets 1-5 (background),m4_random_2,0.1782,1.053,0.8747999999999999
Original markets 1-5 (background),m5_paper_0,-0.39885714285714285,1.2033333333333334,1.6021904761904762
Original markets 1-5 (background),m5_paper_1,-0.6397142857142857,0.9186666666666666,1.5583809523809524
Original markets 1-5 (background),m5_random_0,-0.2445,0.8696666666666667,1.1141666666666667
Original markets 1-5 (background),m5_random_1,-0.032625,0.7,0.732625
Original markets 1-5 (background),m5_random_2,-0.21285714285714288,1.3846666666666667,1.5975238095238096
Symmetric markets A and B,m7_ctrl_42,0.4206,0.3153333333333333,-0.10526666666666668
Symmetric markets A and B,m7_ctrl_43,0.4043333333333334,0.7476666666666666,0.3433333333333332
Symmetric markets A and B,m7_ctrl_44,0.304,0.14,-0.16399999999999998
Symmetric markets A and B,m8_ctrl_42,0.5253333333333333,0.19066666666666668,-0.33466666666666667
Symmetric markets A and B,m8_ctrl_43,0.5108333333333334,0.4553333333333333,-0.05550000000000005
Symmetric markets A and B,m8_ctrl_44,0.25233333333333335,0.43383333333333335,0.1815
