panel,sample,measure,diff,p_welch,p_mwu,p_perm_within_market,fe_diff,p_fe_ols,p_fe_cluster,n_sell,n_buy,mean_sell,mean_buy
A: inference scheme,"markets 3-5, 27 periods",$D$ at first trade,0.7887317909679268,0.0010287396889943584,0.0008743797097587834,0.0009499525023748813,0.7510293920132034,0.0026304480948482157,0.0036998344523239855,,,,
A: inference scheme,"markets 3-5, 27 periods",$D$ at last trade,0.2510576632669653,1.7538343106095615e-05,0.00012097499164611574,4.999750012499375e-05,0.23819019888516305,7.65423855062752e-05,0.0001393870553720579,,,,
A: inference scheme,"markets 3-5, 27 periods","$D$, period average",0.5065394817301773,1.0869761935552448e-05,6.22752950045832e-05,9.99950002499875e-05,0.4950926790613128,5.087554276863937e-05,0.000576962849610314,,,,
A: inference scheme,"markets 3-5, 27 periods",Change across period,-0.5376741277009613,0.019706880960047586,0.013938629579930065,0.014249287535623219,-0.5128391931280403,0.03560470855192255,0.027329030756070752,,,,
A: inference scheme,"markets 3-5, 27 periods",Slope on position,-0.38490034633997855,0.02101013117167507,0.01331571463594911,0.019249037548122593,-0.393285889666091,0.024149470838715294,0.06409124880145743,,,,
A: inference scheme,"markets 3-5, 27 periods",Francs moved in period,-73.0934065934066,0.0012576544247636901,0.001675506042059467,4.999750012499375e-05,-85.6212460779919,0.00010912288723263104,0.00010466980300736915,,,,
B: sample,"Markets 3-5, all 27 periods",$D$ at first trade,0.7887317909679268,0.0010287396889943584,0.0008743797097587834,,,,,13.0,14.0,1.0934535549920164,0.3047217640240896
B: sample,"Markets 3-5, all 27 periods",Francs moved in period,-73.0934065934066,0.0012576544247636901,0.001675506042059467,,,,,13.0,14.0,-2.3076923076923075,70.78571428571429
B: sample,Flagged period dropped,$D$ at first trade,0.7887317909679268,0.0010287396889943584,0.0008743797097587834,,,,,13.0,14.0,1.0934535549920164,0.3047217640240896
B: sample,Flagged period dropped,Francs moved in period,-73.0934065934066,0.0012576544247636901,0.001675506042059467,,,,,13.0,14.0,-2.3076923076923075,70.78571428571429
B: sample,23 periods merged-run in the digitized record dropped,$D$ at first trade,0.45320461192554196,0.20003196688595246,0.16200434710088163,,,,,5.0,8.0,0.7636141636141635,0.3104095516886215
B: sample,23 periods merged-run in the digitized record dropped,Francs moved in period,-56.1,0.0070200311969201,0.012970636346986357,,,,,5.0,8.0,-13.6,42.5
B: sample,All five markets,$D$ at first trade,0.19584470168843476,0.5406176120603972,0.07581029531424688,,,,,17.0,19.0,0.5365070496763642,0.34066234798792944
B: sample,All five markets,Francs moved in period,-61.38390092879257,0.00081032230454455,0.0014820500796767658,,,,,17.0,19.0,-7.647058823529412,53.73684210526316
