sample,side,bin,nbins,bin_lo,bin_hi,n_periods,D_mean,D_sd,D_median,se,F_mean,F_median,F_sd,F_se,layer
human m3-5 insider (primary),seller,1,10,0.0,0.1,13,1.1085282239128393,0.4816337269447188,1.1538461538461535,0.13358116142246199,-3.846153846153845,-5.000000000000002,18.16060825819698,5.036846482195691,L3_appendix_transcribed
human m3-5 insider (primary),seller,2,10,0.1,0.2,13,1.174415328261482,0.3761165543491687,1.2222222222222223,0.10431596325052046,-6.346153846153844,-10.000000000000004,15.499172848070282,4.298697110076665,L3_appendix_transcribed
human m3-5 insider (primary),seller,3,10,0.2,0.3,13,1.186907109984033,0.3016332139746508,1.1538461538461535,0.08365800148989266,-6.5384615384615365,-4.999999999999998,12.480754415067656,3.4615384615384617,L3_appendix_transcribed
human m3-5 insider (primary),seller,4,10,0.3,0.4,13,1.175918098995022,0.28335448785580974,1.1666666666666663,0.07858839500745848,-6.15384615384615,-7.499999999999983,11.75334104163687,3.2597902910490055,L3_appendix_transcribed
human m3-5 insider (primary),seller,5,10,0.4,0.5,13,1.185930309007232,0.2161854880094421,1.2222222222222223,0.05995906630994223,-6.846153846153844,-10.000000000000004,9.044760489238636,2.5085652090954356,L3_appendix_transcribed
human m3-5 insider (primary),seller,6,10,0.5,0.6,13,1.200093923170846,0.21340912063319112,1.2222222222222223,0.05918904054574236,-7.384615384615382,-10.000000000000004,8.73010558869385,2.421295641557724,L3_appendix_transcribed
human m3-5 insider (primary),seller,7,10,0.6,0.7,13,1.1903259134028363,0.1879358357304916,1.2222222222222223,0.05212402247872806,-6.999999999999999,-10.000000000000004,7.604823031033224,2.1091984137861357,L3_appendix_transcribed
human m3-5 insider (primary),seller,8,10,0.7,0.8,13,1.1958204188973416,0.11678562492724723,1.1538461538461535,0.03239050453171503,-7.269230769230767,-5.000000000000002,4.01359867936175,1.1131719875056416,L3_appendix_transcribed
human m3-5 insider (primary),seller,9,10,0.8,0.9,13,1.1815347046116274,0.10452023818156649,1.1538461538461535,0.02898869831441131,-6.846153846153844,-4.999999999999998,3.754911313780792,1.041425021281269,L3_appendix_transcribed
human m3-5 insider (primary),seller,10,10,0.9,1.0,13,1.1511505588428663,0.09117006430204329,1.1428571428571428,0.025286026279105086,-5.6923076923076925,-4.999999999999998,3.224505527586502,0.8943169244407844,L3_appendix_transcribed
human m3-5 insider (primary),buyer,1,10,0.0,0.1,14,0.34604542744077627,0.5223798239663554,0.4168428470754052,0.13961188050324178,-79.04761904761905,-65.0,67.09068453339816,17.930739669150675,L3_appendix_transcribed
human m3-5 insider (primary),buyer,2,10,0.1,0.2,14,0.5822573744085371,0.4337223829131083,0.6325757575757576,0.1159171827025734,-61.25,-58.75,61.27452413272834,16.376305417305794,L3_appendix_transcribed
human m3-5 insider (primary),buyer,3,10,0.2,0.3,14,0.5946622821622821,0.34853593010955836,0.7241014799154334,0.09315014553218251,-53.75,-43.75,52.9944663294052,14.163366885682992,L3_appendix_transcribed
human m3-5 insider (primary),buyer,4,10,0.3,0.4,14,0.6745449640798478,0.3020734744933569,0.7392529950669485,0.08073253194189563,-42.17857142857143,-35.0,40.05650198966894,10.705550468426418,L3_appendix_transcribed
human m3-5 insider (primary),buyer,5,10,0.4,0.5,14,0.6779866128703337,0.2808085220564896,0.7683363148479427,0.07504923434440983,-40.035714285714285,-30.0,39.443466986461615,10.541709972133443,L3_appendix_transcribed
human m3-5 insider (primary),buyer,6,10,0.5,0.6,14,0.6902699690490388,0.2743571661268053,0.7215762273901809,0.0733250369466233,-37.04761904761905,-31.250000000000007,36.68533490802282,9.804568167491393,L3_appendix_transcribed
human m3-5 insider (primary),buyer,7,10,0.6,0.7,14,0.7067828812014858,0.27504449255006286,0.7735042735042734,0.07350873266010235,-35.535714285714285,-27.499999999999993,37.303054260246,9.969660608719899,L3_appendix_transcribed
human m3-5 insider (primary),buyer,8,10,0.7,0.8,14,0.7390734588409007,0.2496895517552004,0.8300536672629696,0.06673233969465142,-31.75,-20.0,34.07556647759844,9.107078215672336,L3_appendix_transcribed
human m3-5 insider (primary),buyer,9,10,0.8,0.9,14,0.7842239801542128,0.22285674066131025,0.8461538461538461,0.059560969277696864,-26.35714285714286,-14.999999999999996,30.982270718930515,8.280360149608311,L3_appendix_transcribed
human m3-5 insider (primary),buyer,10,10,0.9,1.0,14,0.8606608830446041,0.15816102928225942,0.8998211091234347,0.04227031310812397,-16.45238095238096,-5.000000000000004,22.395667752177733,5.985493976905055,L3_appendix_transcribed
