market,period,state,info,vbar,re_price,pi_price,side,separating,n_trades,n_cores,mean_printed,mean_digitized,mean_residual,first_price,last_price,min_price,max_price,dot_quality_flag,n_runs_split,note
1,1,Y,none,283.3333,283.0,283.0,,False,17,17,239.0,239.392,0.392,275.1,226.46,200.43,282.89,ok,0,
1,2,Y,none,283.3333,283.0,283.0,,False,13,13,269.0,265.66,-3.34,255.31,260.79,255.31,275.55,mean_mismatch,0,
1,3,X,none,283.3333,283.0,283.0,,False,16,16,272.0,273.86,1.86,260.17,280.86,251.56,285.68,ok,0,
1,4,Y,none,283.3333,283.0,283.0,,False,12,11,280.0,280.507,0.507,275.39,280.42,275.39,283.97,count_uncertain:2@284,1,
1,5,Y,insider,283.3333,320.0,320.0,buyer,False,15,15,289.0,289.903,0.903,284.72,300.43,280.98,300.43,ok,0,
1,6,X,insider,283.3333,272.0,283.0,seller,True,12,12,290.0,290.22,0.22,290.58,290.59,285.97,290.75,unmatched_band:290.6,0,
1,7,Y,insider,283.3333,320.0,320.0,buyer,False,13,13,301.0,301.38,0.38,291.04,305.57,291.04,305.57,ok,0,
1,8,Y,insider,283.3333,262.0,283.0,seller,True,10,10,289.0,290.191,1.191,290.78,295.62,285.78,295.62,ok,0,
1,9,Y,all,283.3333,338.0,338.0,buyer,False,16,16,310.0,310.404,0.404,300.64,340.84,300.57,340.84,ok,0,
1,10,X,all,283.3333,320.0,320.0,buyer,False,17,17,328.0,328.687,0.687,301.03,345.7,301.03,345.7,ok,0,
1,11,Y,all,283.3333,349.0,349.0,buyer,False,11,11,347.0,344.946,-2.054,300.97,345.79,300.97,355.65,ok,0,
2,1,X,none,266.6667,267.0,267.0,,False,9,9,255.0,256.311,1.311,349.64,249.56,204.34,349.64,ok,0,
2,2,X,none,266.6667,267.0,267.0,,False,7,7,251.0,250.057,-0.943,249.41,259.91,239.81,259.91,ok,0,
2,3,Y,none,266.6667,267.0,267.0,,False,8,8,258.0,258.97,0.97,254.71,260.19,254.71,264.56,ok,0,
2,4,Y,none,266.6667,267.0,267.0,,False,8,8,265.0,263.277,-1.723,259.87,265.87,259.87,267.01,ok,0,
2,5,Y,all,266.6667,350.0,350.0,buyer,False,15,15,304.0,304.457,0.457,271.94,314.71,271.94,314.71,ok,0,
2,6,Y,all,266.6667,350.0,350.0,buyer,False,15,15,337.0,337.284,0.284,324.84,344.92,324.84,347.52,ok,0,
2,7,X,insider,266.6667,240.0,267.0,seller,True,18,18,307.0,307.922,0.922,319.57,309.88,299.81,319.58,ok,0,
2,8,Y,insider,266.6667,350.0,350.0,buyer,False,19,19,328.0,328.009,0.009,319.92,309.44,309.44,339.55,ok,0,
2,9,X,insider,266.6667,240.0,267.0,seller,True,12,12,267.0,269.797,2.797,319.13,229.88,229.85,319.13,ok,0,
2,10,Y,insider,266.6667,350.0,350.0,buyer,False,17,17,327.0,327.895,0.895,319.55,314.2,314.2,341.34,ok,0,
2,11,Y,insider,266.6667,350.0,350.0,buyer,False,20,20,335.0,334.57,-0.43,324.41,339.72,324.41,340.89,ok,0,
3,1,X,none,220.0,220.0,220.0,,False,12,10,234.0,234.061,0.061,245.33,200.01,200.01,250.32,"count_uncertain:2@240,2@230",2,
3,2,Y,none,220.0,220.0,220.0,,False,15,9,217.0,217.039,0.039,200.21,210.11,200.21,224.98,"count_uncertain:4@220,4@220;unmatched_band:219.5",2,
3,3,Y,insider,220.0,175.0,220.0,seller,True,14,14,189.0,189.637,0.637,200.03,170.09,164.95,210.0,ok,0,
3,4,X,insider,220.0,400.0,400.0,buyer,False,19,18,333.0,332.888,-0.112,260.24,395.13,260.24,395.13,count_uncertain:2@350,1,
3,5,Y,insider,220.0,175.0,220.0,seller,True,15,10,163.0,162.747,-0.253,149.91,168.8,149.91,174.87,"count_uncertain:3@150,3@160,2@165",3,
3,6,Y,insider,220.0,175.0,220.0,seller,True,14,9,173.0,172.748,-0.252,199.6,169.62,160.44,199.6,"count_uncertain:4@165,3@170",2,
3,7,X,insider,220.0,400.0,400.0,buyer,False,19,12,364.0,363.858,-0.142,200.28,398.73,200.28,398.73,"count_uncertain:2@395,5@395,3@399",3,
3,8,Y,insider,220.0,175.0,220.0,seller,True,14,13,165.0,165.197,0.197,174.67,171.0,150.12,174.67,count_uncertain:2@165,1,
3,9,X,insider,220.0,400.0,400.0,buyer,False,16,12,396.0,395.478,-0.522,390.0,398.86,390.0,398.86,"count_uncertain:3@395,2@397,2@394",3,
3,10,Y,insider,220.0,175.0,220.0,seller,True,15,7,167.0,166.817,-0.183,170.11,172.64,160.18,172.64,"count_uncertain:8@165,2@171",2,
3,11,Y,all,220.0,175.0,175.0,seller,False,18,8,177.0,176.448,-0.552,297.75,170.77,164.86,297.75,"count_uncertain:2@170,7@170,2@172,3@171",4,
3,12,X,all,220.0,400.0,400.0,buyer,False,16,6,395.0,393.999,-1.001,389.55,396.73,389.55,398.09,"count_uncertain:2@390,10@395",2,
4,1,X,none,210.0,210.0,210.0,,False,3,3,784.0,262.17,-521.83,410.34,200.23,175.94,410.34,source_inconsistent,0,"printed mean 784 with prices off the top of the axis; the panel plots only 3 dots inside the 0-400 range, so the period is not recoverable"
4,2,Y,none,210.0,210.0,210.0,,False,14,13,180.0,180.304,0.304,149.9,175.46,149.9,200.56,count_uncertain:2@201,1,
4,3,Y,none,210.0,210.0,210.0,,False,16,14,154.0,153.926,-0.074,149.92,155.22,149.91,160.05,"count_uncertain:2@155,2@160",2,
4,4,X,none,210.0,210.0,210.0,,False,14,13,158.0,158.171,0.171,155.05,160.52,155.05,160.56,count_uncertain:2@155,1,
4,5,Y,insider,210.0,175.0,210.0,seller,True,17,14,157.0,157.82,0.82,150.17,160.57,150.17,160.59,"count_uncertain:2@158,3@160",2,
4,6,X,insider,210.0,375.0,375.0,buyer,False,23,22,254.0,254.051,0.051,170.38,360.22,170.38,360.22,count_uncertain:2@281,1,
4,7,Y,insider,210.0,175.0,210.0,seller,True,17,15,161.0,171.155,10.155,170.58,180.86,165.53,180.86,"source_inconsistent;count_uncertain:2@166,2@170",2,"every dot in the panel lies between 164 and 182 francs, so no set of trades in this panel can average the printed 161"
4,8,Y,insider,210.0,175.0,210.0,seller,True,10,6,164.0,174.667,10.667,170.75,180.81,170.55,180.81,"source_inconsistent;count_uncertain:2@171,3@171,2@181",3,"every dot in the panel lies between 169 and 182 francs, so no set of trades in this panel can average the printed 164"
4,9,X,insider,210.0,375.0,375.0,buyer,False,20,16,301.0,301.615,0.615,270.55,325.44,251.1,325.44,"count_uncertain:2@301,3@311,2@321",3,
