market,period,state,clue_card,clue_ones,clue_draws,vbar,re_price,pi_price,side,predictions_differ
1,5,Y,'0100101010,4.0,10.0,283.3333333333333,320.12835472578763,320.12835472578763,buyer,False
1,6,X,'0000000011,2.0,10.0,283.3333333333333,272.2361553582322,283.3333333333333,seller,True
1,7,Y,'0100110100,4.0,10.0,283.3333333333333,320.12835472578763,320.12835472578763,buyer,False
1,8,Y,'0000010000,1.0,10.0,283.3333333333333,261.548480972553,283.3333333333333,seller,True
2,7,X,,,,266.66666666666663,240.0,266.66666666666663,seller,True
2,8,Y,,,,266.66666666666663,350.0,350.0,buyer,False
2,9,X,,,,266.66666666666663,240.0,266.66666666666663,seller,True
2,10,Y,,,,266.66666666666663,350.0,350.0,buyer,False
2,11,Y,,,,266.66666666666663,350.0,350.0,buyer,False
3,3,Y,,,,220.0,175.0,220.0,seller,True
3,4,X,,,,220.0,400.0,400.0,buyer,False
3,5,Y,,,,220.0,175.0,220.0,seller,True
3,6,Y,,,,220.0,175.0,220.0,seller,True
3,7,X,,,,220.0,400.0,400.0,buyer,False
3,8,Y,,,,220.0,175.0,220.0,seller,True
3,9,X,,,,220.0,400.0,400.0,buyer,False
3,10,Y,,,,220.0,175.0,220.0,seller,True
4,5,Y,,,,210.0,175.0,210.0,seller,True
4,6,X,,,,210.0,375.0,375.0,buyer,False
4,7,Y,,,,210.0,175.0,210.0,seller,True
4,8,Y,,,,210.0,175.0,210.0,seller,True
4,9,X,,,,210.0,375.0,375.0,buyer,False
4,10,Y,,,,210.0,175.0,210.0,seller,True
4,11,X,,,,210.0,375.0,375.0,buyer,False
4,12,Y,,,,210.0,175.0,210.0,seller,True
4,13,X,,,,210.0,375.0,375.0,buyer,False
5,4,X,,,,212.5,180.0,212.5,seller,True
5,5,X,,,,212.5,180.0,212.5,seller,True
5,6,Y,,,,212.5,245.0,245.0,buyer,False
5,7,Z,,,,212.5,320.0,320.0,buyer,False
5,8,Z,,,,212.5,320.0,320.0,buyer,False
5,9,Y,,,,212.5,245.0,245.0,buyer,False
5,10,Y,,,,212.5,245.0,245.0,buyer,False
5,11,X,,,,212.5,180.0,212.5,seller,True
5,12,Y,,,,212.5,245.0,245.0,buyer,False
5,13,Z,,,,212.5,320.0,320.0,buyer,False
