market,period,info,side,n,vbar,re,first,last,mean,francs_change,slope_f,first_minus_vbar,mean_minus_vbar,flag
1,1,none,,17,283.3333,283.0,275.1,226.46,239.39235294117648,-48.640000000000015,-3.480784313725619,-8.233299999999986,-43.940947058823525,ok
1,2,none,,13,283.3333,283.0,255.31,260.79,265.65923076923076,5.480000000000018,12.075824175824046,-28.023300000000006,-17.67406923076925,mean_mismatch
1,3,none,,16,283.3333,283.0,260.17,280.86,273.86,20.689999999999998,30.022499999999894,-23.163299999999992,-9.473299999999995,ok
1,4,none,,12,283.3333,283.0,275.39,280.42,280.5058333333334,5.03000000000003,5.855000000000094,-7.943300000000022,-2.8274666666666235,count_uncertain:2@284
1,5,insider,buyer,15,283.3333,320.0,284.72,300.43,289.90333333333336,15.70999999999998,10.988499999999965,1.386700000000019,6.570033333333356,ok
1,6,insider,seller,12,283.3333,272.0,290.58,290.59,290.22,0.009999999999990905,-1.2984615384614402,7.246699999999976,6.886700000000019,unmatched_band:290.6
1,7,insider,buyer,13,283.3333,320.0,291.04,305.57,301.3792307692308,14.529999999999973,11.904395604395509,7.706700000000012,18.04593076923078,ok
1,8,insider,seller,10,283.3333,262.0,290.78,295.62,290.18999999999994,4.840000000000032,-0.8127272727272021,7.446699999999964,6.8566999999999325,ok
1,9,all,buyer,16,283.3333,338.0,300.64,340.84,310.401875,40.19999999999999,38.197279411764356,17.306699999999978,27.06857500000001,ok
1,10,all,buyer,17,283.3333,320.0,301.03,345.7,328.68705882352936,44.670000000000016,40.19529411764699,17.696699999999964,45.35375882352935,ok
1,11,all,buyer,11,283.3333,349.0,300.97,345.79,344.94454545454545,44.81999999999999,19.03090909090898,17.63670000000002,61.61124545454544,ok
2,1,none,,9,266.6667,267.0,349.64,249.56,256.3111111111111,-100.07999999999998,-82.0066666666668,82.9733,-10.355588888888917,ok
2,2,none,,7,266.6667,267.0,249.41,259.91,250.05714285714288,10.500000000000028,12.272142857142972,-17.256699999999995,-16.609557142857113,ok
2,3,none,,8,266.6667,267.0,254.71,260.19,258.96875,5.47999999999999,9.614166666666746,-11.956699999999984,-7.697949999999992,ok
2,4,none,,8,266.6667,267.0,259.87,265.87,263.27750000000003,6.0,7.261666666666713,-6.796699999999987,-3.38919999999996,ok
2,5,all,buyer,15,266.6667,350.0,271.94,314.71,304.45733333333334,42.76999999999998,26.95350000000009,5.273300000000006,37.790633333333346,ok
2,6,all,buyer,15,266.6667,350.0,324.84,344.92,337.2846666666667,20.08000000000004,24.48950000000007,58.17329999999998,70.61796666666669,ok
