market,period,state,info,side,vbar,re_price,second_val,span_francs,band_lo_price,band_hi_price,band_lo_D,band_hi_D,band_width_D,band_width_francs,dot_quality_flag,count_uncertain,flagged,mean_printed,mean_digitized,mean_residual,n_trades,D_first,D_last,D_mean,D_min,D_max,D_change,p_first,p_last,p_mean,francs_first,francs_last,francs_change,gap_francs_first,gap_francs_last,slope_D_per_trade,p_slope_trade,slope_D_per_norm,p_slope_norm,slope_francs_per_trade,slope_D_norm_h1,p_slope_h1,slope_D_norm_h2,p_slope_h2,slope_D_trade_h1,slope_D_trade_h2,D_h1_mean,D_h2_mean,D_dec1,D_dec2,D_dec3,D_dec4,D_dec5,D_dec6,D_dec7,D_dec8,D_dec9,D_dec10,D_qui1,D_qui2,D_qui3,D_qui4,D_qui5,n_in_band,frac_in_band,ttb_index,ttb_frac,reached_band,ended_in_band,tt80_index,tt80_frac,reached_D80,ended_D80,ttn_index,ttn_frac,reached_near,ended_near,n_beyond_RE,frac_beyond_RE,any_beyond_RE,k_side,k_state,layer,source,band_degenerate
1,1,Y,none,,283.3333333333333,283.3333333333333,283.3333333333333,0.0,283.3333333333333,283.3333333333333,,,,0.0,ok,False,False,239.0,239.392,0.392,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2_human_digitized,out/human_trades.csv,False
1,2,Y,none,,283.3333333333333,283.3333333333333,283.3333333333333,0.0,283.3333333333333,283.3333333333333,,,,0.0,mean_mismatch,False,True,269.0,265.66,-3.34,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2_human_digitized,out/human_trades.csv,False
1,3,X,none,,283.3333333333333,283.3333333333333,283.3333333333333,0.0,283.3333333333333,283.3333333333333,,,,0.0,ok,False,False,272.0,273.86,1.86,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2_human_digitized,out/human_trades.csv,False
1,4,Y,none,,283.3333333333333,283.3333333333333,283.3333333333333,0.0,283.3333333333333,283.3333333333333,,,,0.0,count_uncertain:2@284,True,False,280.0,280.507,0.507,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2_human_digitized,out/human_trades.csv,False
1,5,Y,insider,buyer,283.3333333333333,320.12835472578763,292.5320886814469,36.795021392454316,292.5320886814469,320.12835472578763,0.2500000000000004,1.0,0.7499999999999996,27.596266044340723,ok,False,False,289.0,289.903,0.903,15,0.03768625792811963,0.46464619450317174,0.17855676532769615,-0.0639579281183922,0.46464619450317174,0.4269599365750521,284.72,300.43,289.90333333333336,1.386666666666713,17.096666666666692,15.70999999999998,35.4083547257876,19.698354725787624,0.021331496149199585,0.0026600419865551316,0.2986409460887942,0.0026600419865551277,0.7848928571428556,0.09566511627906718,0.691296621447965,0.7876065539112053,0.0010286747781081812,0.006833222591361942,0.05625761099365752,0.11004659090909157,0.256854107520387,0.11677304439746411,0.19749048625792914,-0.0018571353065529941,0.06296141649048613,0.19287029598308728,0.13416670190274838,0.197762262156449,0.20170301268498972,0.32821469344608983,0.398740539112051,0.14367885835095245,0.01974904862579338,0.15373456659619467,0.2003894291754761,0.3752319238900639,3.0,0.2,13.0,0.8666666666666667,True,True,,,False,False,13.0,0.8666666666666667,True,True,0.0,0.0,False,1.0,,L2_human_digitized,out/human_trades.csv,False
1,6,X,insider,seller,283.3333333333333,272.2361553582322,238.9446214329289,-11.09717797510109,238.9446214329289,272.2361553582322,1.0,4.000000000000005,3.0000000000000053,33.29153392530333,unmatched_band:290.6,False,False,290.0,290.22,0.22,12,-0.6530188740710592,-0.6539200040720763,-0.6205781940344118,-0.6683380840883669,-0.23759794360175557,-0.0009011300010171031,290.58,290.59,290.22,7.24666666666667,7.256666666666661,0.009999999999990905,18.34384464176776,18.35384464176775,0.010637114977051953,0.31439181592468246,0.1170082647475715,0.3143918159246825,-0.1180419580419588,-0.005664245720690622,0.7532657805332452,0.11894916013438503,0.8217681414930307,-0.0005149314291536929,0.010813560012216809,-0.6578249007431568,-0.5833314873256666,-0.6530188740710592,-0.6683380840883669,-0.660227914079207,-0.6557222640741158,-0.656623394075133,-0.6431064440598648,-0.6584256540771675,-0.6539200040720763,-0.23759794360175557,-0.6534694390715677,-0.6581252774101617,-0.6579750890766614,-0.649864919067499,-0.6561728290746218,-0.5148456072482971,0.0,0.0,,,False,False,,,False,False,1.0,0.08333333333333333,True,True,0.0,0.0,False,1.0,,L2_human_digitized,out/human_trades.csv,False
1,7,Y,insider,buyer,283.3333333333333,320.12835472578763,292.5320886814469,36.795021392454316,292.5320886814469,320.12835472578763,0.2500000000000004,1.0,0.7499999999999996,27.596266044340723,ok,False,False,301.0,301.38,0.38,13,0.20944862579281281,0.6043390063424947,0.49044399902423186,0.20944862579281281,0.6043390063424947,0.3948903805496819,291.04,305.57,301.3792307692308,7.706666666666706,22.23666666666668,14.529999999999973,29.08835472578761,14.558354725787638,0.026961065097692975,5.005620476112903e-05,0.3235327811723157,5.005620476112903e-05,0.9920329670329665,0.4494785110238593,0.034222244087065846,0.2320189670794323,0.1368461270842592,0.03745654258532161,0.019334913923286026,0.4130864240410756,0.5806945031712476,0.2734518498942924,0.46654862579281214,0.46682040169133193,0.47171236786469367,0.4719841437632135,0.4699458245243132,0.5991752642706132,0.6016212473572948,0.6024365750528543,0.6043390063424947,0.33781744186046564,0.4692663847780128,0.4706252642706133,0.600398255813954,0.6037048625792812,12.0,0.9230769230769231,2.0,0.15384615384615385,True,True,,,False,False,2.0,0.15384615384615385,True,True,0.0,0.0,False,2.0,,L2_human_digitized,out/human_trades.csv,False
1,8,Y,insider,seller,283.3333333333333,261.548480972553,253.8060761097877,-21.78485236078029,253.8060761097877,261.548480972553,1.0,1.3554031367549737,0.3554031367549737,7.742404862765312,ok,False,False,289.0,290.191,1.191,10,-0.34182773164315966,-0.5640004560593959,-0.3147446929229997,-0.5640004560593959,-0.11231045435366097,-0.2221727244162362,290.78,295.62,290.18999999999994,7.446666666666658,12.28666666666669,4.840000000000032,29.23151902744695,34.07151902744698,0.0041452211292284345,0.7872391305668767,0.0373069901630559,0.7872391305668767,-0.09030303030302844,0.012807064072751773,0.2585649607279476,-0.20697868065966968,0.7557780234774045,0.0014230071191946416,-0.02299763118440773,-0.3370537722755388,-0.2924356135704606,-0.34182773164315966,-0.338614489761107,-0.33448317876989714,-0.33264704055158023,-0.3376964206519498,-0.3381554552065284,-0.33402414421531856,-0.11368755801739931,-0.11231045435366097,-0.5640004560593959,-0.34022111070213334,-0.3335651096607387,-0.3379259379292391,-0.22385585111635894,-0.3381554552065284,0.0,0.0,,,False,False,,,False,False,,,False,False,0.0,0.0,False,2.0,,L2_human_digitized,out/human_trades.csv,False
1,9,Y,all,buyer,283.3333333333333,337.64478764478764,296.91119691119695,54.31145431145433,296.91119691119695,337.64478764478764,0.25000000000000105,1.0,0.7499999999999989,40.73359073359069,ok,False,False,310.0,310.404,0.404,16,0.3186559241706161,1.0588312796208528,0.4983947126777253,0.31736706161137457,1.0588312796208528,0.7401753554502366,300.64,340.84,310.401875,17.306666666666672,57.50666666666666,40.19999999999999,37.004787644787655,3.195212355212334,0.04688670790354055,0.000268877630645237,0.703300618553108,0.00026887763064523844,2.546485294117647,0.11754295023696731,0.1149900979507641,1.7500254739336476,0.0041151687284536834,0.007836196682464488,0.11666836492890985,0.3310151954976305,0.66577422985782,0.31801149289099534,0.3197606635071091,0.32077334123222767,0.3195765402843604,0.3656073459715642,0.41016516587677776,0.4104413507109007,0.4151364928909954,0.7820020142180092,1.0580027251184831,0.31859454976303325,0.3203744075829386,0.3804599526066354,0.4120063981042656,0.9200023696682462,13.0,0.8125,1.0,0.0625,True,False,14.0,0.875,True,True,1.0,0.0625,True,True,3.0,0.1875,True,,,L2_human_digitized,out/human_trades.csv,False
1,10,X,all,buyer,283.3333333333333,320.12835472578763,292.5320886814469,36.795021392454316,292.5320886814469,320.12835472578763,0.2500000000000004,1.0,0.7499999999999996,27.596266044340723,ok,False,False,328.0,328.687,0.687,17,0.48095274841437585,1.6949756871035935,1.23260494963313,0.48095274841437585,1.6949756871035935,1.2140229386892176,301.03,345.7,328.68705882352936,17.69666666666666,62.366666666666674,44.670000000000016,19.098354725787658,25.571645274212358,0.06827570109439123,8.209186880890303e-11,1.0924112175102596,8.209186880890303e-11,2.512205882352941,1.526945708245243,3.973249584882478e-05,0.8655415282392027,0.000132789041679468,0.09543410676532768,0.05409634551495017,0.9730181113460183,1.5246401427061307,0.6153459302325581,0.8743483615221987,0.8777455602536998,1.157674735729387,1.2922038054968286,1.2931550211416487,1.4238792283298094,1.5560982029598298,1.5577288583509512,1.691986152219873,0.7448471458773784,1.0643650105708247,1.292837949260042,1.4679522198731494,1.6248575052854122,5.0,0.29411764705882354,1.0,0.058823529411764705,True,False,3.0,0.17647058823529413,True,True,1.0,0.058823529411764705,True,True,12.0,0.7058823529411765,True,,,L2_human_digitized,out/human_trades.csv,False
