sample,side,bin,nbins,bin_lo,bin_hi,n_periods,D_mean,D_sd,D_median,se,layer
human m3-5 insider (primary),seller,1,10,0.0,0.1,13,1.0537883910960835,0.46006268845064047,1.1214285714285714,0.12759843177973837,L2_human_digitized
human m3-5 insider (primary),seller,2,10,0.1,0.2,13,1.1197249929557622,0.35033103202976723,1.1421538461538463,0.09716434610534946,L2_human_digitized
human m3-5 insider (primary),seller,3,10,0.2,0.3,13,1.1342161172161171,0.27921873056339985,1.135692307692308,0.07744134231663864,L2_human_digitized
human m3-5 insider (primary),seller,4,10,0.3,0.4,13,1.121574058420212,0.24406590704753464,1.1344285714285711,0.067691703265578,L2_human_digitized
human m3-5 insider (primary),seller,5,10,0.4,0.5,13,1.1454468864468865,0.20091083521699324,1.134307692307693,0.05572263985932041,L2_human_digitized
human m3-5 insider (primary),seller,6,10,0.5,0.6,13,1.1440025359256127,0.21671733767959125,1.1350769230769229,0.06010657486813926,L2_human_digitized
human m3-5 insider (primary),seller,7,10,0.6,0.7,13,1.1386379261763877,0.17629773944439722,1.1366153846153846,0.04889619533193573,L2_human_digitized
human m3-5 insider (primary),seller,8,10,0.7,0.8,13,1.1365349863811405,0.12231979910398488,1.129692307692308,0.03392540828260551,L2_human_digitized
human m3-5 insider (primary),seller,9,10,0.8,0.9,13,1.127597351366582,0.12824220825499244,1.125142857142857,0.035567989041700505,L2_human_digitized
human m3-5 insider (primary),seller,10,10,0.9,1.0,13,1.096848408002254,0.14633858106001368,1.1195555555555554,0.040587019814655595,L2_human_digitized
human m3-5 insider (primary),buyer,1,10,0.0,0.1,14,0.35803489178779874,0.5278816297062995,0.42260253699788575,0.14108229993806015,L2_human_digitized
human m3-5 insider (primary),buyer,2,10,0.1,0.2,14,0.5935079255369953,0.4414381893833054,0.6350997474747475,0.1179793187221542,L2_human_digitized
human m3-5 insider (primary),buyer,3,10,0.2,0.3,14,0.6088476087865623,0.3552066678412111,0.7328340380549683,0.09493297518281608,L2_human_digitized
human m3-5 insider (primary),buyer,4,10,0.3,0.4,14,0.6881540823517568,0.3058632691195867,0.748216349541931,0.08174539716029483,L2_human_digitized
human m3-5 insider (primary),buyer,5,10,0.4,0.5,14,0.7016566211566212,0.2939905165516615,0.7857167019027486,0.0785722705640722,L2_human_digitized
human m3-5 insider (primary),buyer,6,10,0.5,0.6,14,0.7041361639006988,0.2775721961490752,0.731690518783542,0.0741842898631609,L2_human_digitized
human m3-5 insider (primary),buyer,7,10,0.6,0.7,14,0.7202318043713392,0.27777264348867403,0.7922397137745976,0.07423786166808012,L2_human_digitized
human m3-5 insider (primary),buyer,8,10,0.7,0.8,14,0.7542147410083457,0.2527438018357333,0.8539463327370305,0.06754862236428577,L2_human_digitized
human m3-5 insider (primary),buyer,9,10,0.8,0.9,14,0.7977010286225402,0.22198716760846243,0.8830769230769231,0.05932856610365918,L2_human_digitized
human m3-5 insider (primary),buyer,10,10,0.9,1.0,14,0.8746578505473854,0.15929813178838736,0.9240929487179486,0.04257421653609346,L2_human_digitized
